Inversion (out.S8fs.sticky..dat) of data (dataS8.dat): correlations, means, std
			p1		E1		V1		n3		E3		V3		X1		X2		X3		X4		X5		log10A1		log10A3		mean +/- std
 p1		 0.998		 0.759		-0.945		-0.417		-0.254		-0.096		 0.268		-0.730		 0.055		 0.248		 0.207		 0.998		 0.458 		 2.027 +/-  0.270
 E1		 0.759		 0.998		-0.785		-0.217		 0.314		-0.539		-0.352		-0.868		 0.628		 0.708		 0.472		 0.784		 0.026 		298.973 +/- 32.748
 V1		-0.945		-0.785		 0.998		 0.314		 0.159		 0.145		-0.206		 0.743		-0.130		-0.247		-0.258		-0.946		-0.322 		 9.735 +/-  2.706
 n3		-0.417		-0.217		 0.314		 0.998		 0.145		 0.152		-0.022		 0.270		 0.108		 0.001		-0.375		-0.410		-0.879 		 3.008 +/-  0.037
 E3		-0.254		 0.314		 0.159		 0.145		 0.998		-0.810		-0.911		-0.253		 0.868		 0.513		 0.571		-0.217		-0.586 		461.426 +/- 24.975
 V3		-0.096		-0.539		 0.145		 0.152		-0.810		 0.998		 0.710		 0.667		-0.763		-0.447		-0.899		-0.137		 0.299 		15.304 +/-  1.658
 X1		 0.268		-0.352		-0.206		-0.022		-0.911		 0.710		 0.998		 0.188		-0.878		-0.685		-0.471		 0.233		 0.432 		-0.986 +/-  0.064
 X2		-0.730		-0.868		 0.743		 0.270		-0.253		 0.667		 0.188		 0.998		-0.492		-0.482		-0.678		-0.755		-0.063 		-0.502 +/-  0.050
 X3		 0.055		 0.628		-0.130		 0.108		 0.868		-0.763		-0.878		-0.492		 0.998		 0.754		 0.494		 0.091		-0.485 		-0.003 +/-  0.033
 X4		 0.248		 0.708		-0.247		 0.001		 0.513		-0.447		-0.685		-0.482		 0.754		 0.998		 0.168		 0.271		-0.203 		 0.497 +/-  0.036
 X5		 0.207		 0.472		-0.258		-0.375		 0.571		-0.899		-0.471		-0.678		 0.494		 0.168		 0.998		 0.240		-0.030 		 0.994 +/-  0.042
log10A1		 0.998		 0.784		-0.946		-0.410		-0.217		-0.137		 0.233		-0.755		 0.091		 0.271		 0.240		 1.000		 0.434 		 5.691 +/-  0.317
log10A3		 0.458		 0.026		-0.322		-0.879		-0.586		 0.299		 0.432		-0.063		-0.485		-0.203		-0.030		 0.434		 1.000 		 5.193 +/-  0.089
